conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,73954E+18;Tue Dec 26 06:45:36 +0000 2023;0; Saya kuliah di jurusan BK - galakk - polisi sekolah - gak guna Saya kuliah di jurusan psikologi pendidikan dan bimbingan - wah pendidikan yg berorientasi psikologi - wah psikologi - kerennnn;1,73954E+18;;;in;jwoo's heart;0;0;0;https://x.com/rosiiesha/status/1739537929234760056;1,37015E+18;rosiiesha
1,73949E+18;Tue Dec 26 06:34:36 +0000 2023;904;@collegemenfess Saya kuliah pendidikan bahasa inggris - lemah - letih - loyo - lesu - asam lambung Saya bisa DIANGGAP SBG KAMUS BERJALAN DAN BISA BERBICARA FAFIFU WASWESWOS - stress - anxiety - oxford dictionary - asam lambung;1,73954E+18;;collegemenfess;in;119;32;17;170;https://x.com/Pshylust/status/1739535163816829369;1,12143E+18;Pshylust
1,73953E+18;Tue Dec 26 06:28:26 +0000 2023;0;Psikolog mahal mending kuliah psikologi sampe tuntas terus buka jasa konseling mumpung peluang bisa-jadi-cuan yeee kan... Kali aja kerasa perjuangannya buat balik modal biaya pendidikan psikologi.;1,73953E+18;;;in;Jawa Timur, Indonesia;0;0;0;https://x.com/IchisamaRizky/status/1739533612196987060;1,05942E+18;IchisamaRizky
1,73953E+18;Tue Dec 26 06:22:42 +0000 2023;3; saya kuliah jurusan pendidikan bahasa inggris - kamus berjalan - calon pahlawan tanpa tanda jasa - saingan sama duolingo bold of you to assume i want to be a teacher - INTIMIDATIF - menyatakan kamu punya skill lain selain mengajar - terus mau jadi apa? saya juga bingung;1,73953E+18;;;in;shitpost & rant 🔞 heavy RT ;0;0;3;https://x.com/walpurgisneit/status/1739532168941166966;1,68842E+18;walpurgisneit
1,73949E+18;Tue Dec 26 06:13:22 +0000 2023;0;@collegemenfess Saya kuliah pendidikan -lemas -lesu -puyeng Saya kuliah belajar MENDIDIK ANAK BANGSA MEMBUAT BOM -POWEFULL -STRESS -STRONG -CWK KUL;1,73953E+18;;collegemenfess;in;Banda Aceh, Indonesia;0;0;0;https://x.com/strsnshine/status/1739529817706655989;7,03472E+17;strsnshine
1,73946E+18;Tue Dec 26 06:11:42 +0000 2023;0;@nevvmnd Wkwkwk rata2 yg kuliah di UT udah pada kerja tp kepengen jenjang pendidikan.;1,73953E+18;;nevvmnd;in;;0;0;0;https://x.com/gakeseltuh/status/1739529398121046156;1,20078E+18;gakeseltuh
1,73953E+18;Tue Dec 26 06:05:29 +0000 2023;0; saya kuliah pendidikan bahasa inggris -ngajar les-lesan ya? -bahasa inggrisnya aku cinta kamu apa? -biar bisa dapat pasangan bule? saya membimbing calon pembicara PBB -wow agen perdamaian;1,73953E+18;;;in;;0;0;0;https://x.com/angkasakgna/status/1739527833998008716;372613564;angkasakgna
1,73953E+18;Tue Dec 26 05:59:44 +0000 2023;2; aku kuliah pendidikan sejarah - honorer - pendongeng handal - ngantuk - gagal move on Hitler mati di garut - penuh konspirasi - dipercaya khalayak luas - jadi sumber rujukan anak tongkrongan - tau segala hal;1,73953E+18;;;in;Pangandaran, Jawa Barat;0;0;0;https://x.com/siyogikecil/status/1739526390364733597;7,45837E+17;siyogikecil
1,73952E+18;Tue Dec 26 05:41:36 +0000 2023;1; Bener saya kuliah pendidikan - terkesan tertolak jurusan impian - guru honorer - gaji 300k/bln - bkn idaman mamahmu Bener saya ingin merealisasikan pembukaan UUD 1945 alinea 4 - terdengar intelektual - ingin memajukan Indonesia sampai Samudera Pasifik - tetep honorer;1,73952E+18;;;in;bumi;0;0;0;https://x.com/indogood_23/status/1739521825850487221;1,14058E+18;indogood_23
1,73951E+18;Tue Dec 26 05:40:04 +0000 2023;0;@iina_surbakti Pendidikan gratis n kuliah gratis.. Terbukti meningkatkan taraf hidup keluarga miskin;1,73952E+18;;iina_surbakti;in;;0;0;0;https://x.com/IwanS86257855/status/1739521439773196536;1,53438E+18;IwanS86257855
1,73952E+18;Tue Dec 26 05:26:13 +0000 2023;1; Saya kuliah jurusan pendidikan - lemah - cuma jadi guru - gaji kecil Tugas saya adalah mencerdaskan bangsa - kuat - membawa visi misi ki hadjar dewantara - masa depan bangsa ada di tangan kita;1,73952E+18;;;in;;0;0;0;https://x.com/lunaerice/status/1739517953677394030;1,5453E+18;lunaerice
1,73949E+18;Tue Dec 26 05:21:02 +0000 2023;26;@undipmenfess aku kuliah di ub - biaya hidup mahal - mainnya ke loteng - pasti ngomongnya lo gue - orangnya gengsian aku kuliah di malang - ambil prodi pendidikan - terkenal alim - ga pernah kenal club - ga keluar malam - temennya jawa semua terutama dari;1,73952E+18;;undipmenfess;in;Malang;0;2;0;https://x.com/issejourney/status/1739516648045043846;2757313389;issejourney
1,73951E+18;Tue Dec 26 04:53:08 +0000 2023;14;Pendidikan untuk kemajuan bangsa Semua harus sekolah semua harus kuliah https://t.co/IcN3ABcWUt;1,73951E+18;https://pbs.twimg.com/media/GCP6yIDaEAA6aE6.jpg;;in;Indonesia;0;3;9;https://x.com/iina_surbakti/status/1739509627015016472;9,92673E+17;iina_surbakti
1,73951E+18;Tue Dec 26 04:43:32 +0000 2023;1; saya kuliah di UNSIL -oh UNSIL -biasa aja -masuknya gampang saya kuliah di UNSIL jurusan pendidikan bahasa Inggris -wah keren -pinter bahasa Inggrisnya -pasti gampang cari kerja dan sukses;1,73951E+18;;;in;she/her;0;2;0;https://x.com/nengitaltwins/status/1739507212303864236;9,84023E+17;nengitaltwins
1,73949E+18;Tue Dec 26 04:25:06 +0000 2023;9422;@collegemenfess iya saya kuliah jurusan pendidikan - lemah - honorer - gaji 300rb saya kuliah utk MENDIDIK ANAK BANGSA - STRONG - POWERFULL - TRLIHAT MASA DEPAN PENUH PAHALA - CLON MNTRI PENDIDIKAN - TETEP HONORER;1,7395E+18;;collegemenfess;in;h;436;131;1703;https://x.com/__pericantik/status/1739502572388638945;1,62991E+18;__pericantik
1,7395E+18;Tue Dec 26 04:21:05 +0000 2023;3; iya saya kuliah jurusan pendidikan musik - stereotipe guru - oh jadi pns - S. Pd. iya saya kuliah jurusan pendidikan musik di *** ***** - ******* - *** - *************** - ****** **** ******* ****** **???;1,7395E+18;;;in;;1;2;0;https://x.com/kylonoufre/status/1739501561196487073;1,59111E+18;kylonoufre
